CoffeeShopName,PhoneNumber,AverageDriveTimeFromChapman,WiFi,IndoorSeating,Outlets,Music,FoodName,FoodRating,FoodPrice,EmployeeName,EmployeeRating,ReviewDescription,DrinkName,DrinkRating,DrinkPrice
"Kennedy, Mcclain and White",291-222-7427x2401,33,0,1,0,1,Bagel and cream cheese,10,23,Jason Lopez,1,Would against black.,Cappucino,8,2
"James, Sherman and Thompson",526.895.5435,16,1,0,0,1,Breakfast Sandwich,6,10,Denise Johnson,1,Technology today now red mother provide.,Iced Tea,1,19
"Ayala, Gordon and Espinoza",3991449583,39,1,0,1,0,Cookie,10,9,Mark Archer,5,General stay society. Life property television east whether.,Cappucino,2,15
"Moyer, Webster and Lyons",850-230-8337x114,23,1,1,1,0,Cookie,9,24,Jeremy Banks,5,Figure next authority reach deep speak.,Iced Latte,2,28
Williams-Andersen,(212)517-4127,33,0,0,0,0,Breakfast Burrito,1,21,Herbert Marshall,6,Box professor large natural.,Chai Latte,8,30
Webster Inc,732-138-9312x532,34,0,0,0,1,Chocolate Croissant,3,17,Dr. Ashley Shaw,4,Own hope term myself. Agent collection dark our kind discover.,Cold Brew,6,22
Mcintyre and Sons,838-739-3091,42,1,0,1,1,Cookie,5,26,Ronald Carter,4,Personal any small whatever get.,Flat White,9,26
"Hawkins, Brown and Cantu",+1-438-351-3153x6560,21,0,1,1,1,Breakfast Burrito,3,29,Mary Sharp,9,Start perhaps apply report. Almost sign move hundred available smile become.,Hot Latte,9,23
Williams-Martinez,+1-693-871-7441x170,41,0,1,1,1,Scone,6,27,April Freeman,6,Better task rise opportunity. Sell way piece.,Matcha Latte,5,4
White-Mason,(003)788-0331,40,0,0,1,1,Donut,3,24,James Hurley,8,Business real enter recognize design loss.,Iced Tea,1,6
"Brewer, Henson and Garcia",(977)136-5207,7,1,0,0,1,Chocolate Chip Muffin,1,30,Dylan Moses,4,Everyone born environmental many oil. Worry environmental society final.,Black Coffee,1,21
"Kelley, Duncan and Mendez",(700)967-2762,31,0,1,1,1,Cookie,10,22,Christina Rice,9,Court whether believe at mind. Policy maybe interest special until work include.,Chai Latte,3,11
Moss Inc,+1-125-838-5801x80473,41,1,0,1,0,Breakfast Sandwich,3,24,Thomas Williams,5,Throughout eye report force reduce. Chair animal peace report among.,Cold Brew,3,14
Young-Becker,684-848-2143,34,1,1,0,1,Bagel and cream cheese,4,26,Susan Marshall,6,Store subject believe identify relate school move. Film whether represent anyone fear if.,Iced Coffee,2,14
Guerra-Wilson,001-852-037-8445x226,23,1,1,1,0,Chocolate Croissant,1,21,Miguel Brown,5,Difference third put approach like end campaign.,Flat White,10,6
Price and Sons,252-798-2225,16,0,1,0,1,Breakfast Burrito,8,4,Robert Anderson,9,Two we issue country want bank. Avoid join close book senior drug rule against.,Black Coffee,1,13
"Cook, Perez and Holmes",(429)448-5712x92348,1,1,1,0,0,Bagel and cream cheese,8,29,Katie Delgado,4,Enough cut later activity black.,Matcha Latte,6,30
Jenkins Ltd,5824370363,29,1,0,1,0,Donut,1,29,Sarah Johnson,2,Someone do number dog according place exactly debate.,Chai Latte,3,27
Martinez Ltd,109.195.1960x727,4,0,0,1,1,Chocolate Croissant,1,21,Elizabeth Palmer,2,Major safe because college.,Hot Latte,10,28
"Nunez, Molina and Craig",165-616-1277,1,0,1,1,0,Blueberry Muffin,10,8,Eric Newton,9,Write next fight from evening care high send.,Iced Latte,2,18
"Bray, Baker and Casey",366.685.9891x365,16,1,0,1,1,Chocolate Croissant,3,25,Julie Ingram,5,Try population but if plant. View somebody special.,Hot Latte,6,22
"Fox, Alvarez and Massey",+1-875-098-0329x2293,14,1,0,0,0,Donut,10,17,Curtis Hill,1,Treat scientist character. Sea imagine growth make.,Cold Brew,1,7
Walton-Gonzales,001-462-606-8034x02519,2,1,1,0,1,Cookie,3,13,Eric Wilson,6,Upon political poor group office blood reach. Training ground significant despite.,Cold Brew,9,4
"Barton, Cox and Washington",324-713-2935x576,11,1,0,0,0,Cookie,5,26,Thomas Flores,3,But network better body dream free how. Turn size month example.,Matcha Latte,10,29
Ibarra and Sons,(632)467-1812x311,43,0,0,0,1,Bagel and cream cheese,8,3,Diana Becker,4,Local brother that above many able.,Chai Latte,7,16
Alvarado PLC,(567)286-6932,9,0,0,0,0,Croissant,3,29,Jody Hernandez,7,Prevent also listen art road service.,Americano,4,26
Macdonald LLC,001-820-031-1400x24914,45,0,1,1,0,Cookie,1,16,Michael Walsh,2,Edge stuff become region store. Public avoid make still respond almost.,Matcha Latte,2,7
"Chang, Rosario and Hale",+1-460-051-8711,5,0,1,0,0,Chocolate Croissant,2,26,Shelia Bridges,6,Less life forward economy nature. Dark return attorney marriage choice but public.,Chai Latte,7,30
Brooks-Reid,(019)203-9916x37405,35,0,0,0,1,Scone,8,16,Lisa Kelly,1,Detail stay vote yes inside approach.,Black Coffee,6,27
Snow-Bridges,+1-485-167-6527x445,2,1,1,1,1,Cookie,3,18,Kimberly Rose,7,Item nice five cut.,Chai Latte,7,18
